Artist Name,Song Name,Days,Top 10 (xTimes),Peak Position,Peak Position (xTimes),Peak Streams,Total Streams,Release Date,Genre,Broad Genre
Eslabon Armado ,Con Tus Besos,1,0,152,0,262192,262192,2020/4/6,corrido,Latin
Denzel Curry ,Troubles [Feat. TPain],1,0,174,0,262107,262107,2022/3/25,dark trap,Hip Hop
DaBaby ,Brother’s Keeper,1,0,153,0,261916,261916,2020/11/20,hip hop,Hip Hop
Robyn ,Missing U,1,0,153,0,261903,261903,2018/10/26,dance pop,Pop
Justin Bieber ,"Peaches (Remix) feat. Ludacris, Usher & Snoop Dogg",1,0,174,0,261557,261557,2021/6/7,canadian pop,Pop
Shawn Mendes ,Can’t Imagine,1,0,192,0,261527,261527,2020/12/4,canadian pop,Pop
Lil Wayne ,YM Wasted,1,0,142,0,261510,261510,2020/8/28,hip hop,Hip Hop
King Von ,Facetime,1,0,166,0,261400,261400,2024/2/2,chicago rap,Hip Hop
A Tribe Called Quest ,Black Spasmodic,2,0,181,0,134605,261274,2016/11/11,conscious hip hop,Hip Hop
Oliver Tree ,Jerk,1,0,155,0,261268,261268,2023/6/23,alternative hip hop,Hip Hop
Wiz Khalifa ,Promises,5,0,188,0,54781,261254,2020/4/17,hip hop,Hip Hop
Roddy Ricch ,no way,1,0,200,0,261204,261204,2019/1/13,melodic rap,Hip Hop
Troye Sivan ,Easy,1,0,156,0,261130,261130,2024/2/19,australian pop,Pop
Flume ,Let You Know,1,0,153,0,261115,261115,2022/11/6,australian dance,Electronic
Lauv ,Sad Forever,1,0,178,0,261104,261104,2023/10/13,pop,Pop
SZA ,Awkward,1,0,197,0,261087,261087,2022/6/9,pop,Pop
Pop Smoke ,Paranoia,1,0,119,0,261054,261054,2022/1/23,brooklyn drill,Hip Hop
YG ,CANT GET IN KANADA,1,0,156,0,261012,261012,2018/8/3,,undefined
blink,182  Happy Days,1,0,144,0,260956,260956,2019/9/20,alternative metal,Metal
Cordae ,JeanMichel,1,0,165,0,260654,260654,2022/1/14,hip hop,Hip Hop
